Photo No.,Date,Time,Lat_dec,Lon_dec,Alt above the Sea level,Alt above launch point,Alt above ground,Banking angle,Tangage,Azimuth,GPS Course,Speed,GPS Speed,Camera position,Species,Number
DSC00001.JPG,16.07.2020,13:16:07,45.759460,61.212132,57.3,0.5,,-1.900,11.300,176.000,176.200,0.000,0.000,right,,
DSC00002.JPG,16.07.2020,13:16:11,45.759464,61.212135,57.1,0.5,,-1.600,11.000,176.000,176.400,0.000,0.000,right,,
DSC00003.JPG,16.07.2020,13:16:13,45.759464,61.212135,57.0,0.4,,-1.300,10.400,177.000,176.700,0.000,0.000,right,,
DSC00004.JPG,16.07.2020,13:29:24,45.719223,61.006542,292.1,229.3,234.8,1.600,2.600,260.000,253.900,82.440,124.200,right,,
DSC00005.JPG,16.07.2020,13:29:29,45.718861,61.004574,293.8,231.3,236.5,0.300,2.300,262.000,256.200,87.480,122.760,right,,
DSC00006.JPG,16.07.2020,13:29:34,45.718475,61.002514,292.4,230.1,235.1,0.400,2.400,259.000,255.100,81.360,116.640,right,,
DSC00007.JPG,16.07.2020,13:29:39,45.718117,61.000504,292.8,230.4,235.5,-1.700,2.900,260.000,256.200,80.640,116.280,right,,
DSC00008.JPG,16.07.2020,13:29:44,45.717743,60.998470,292.9,231.0,235.6,-0.300,2.500,257.000,254.700,81.720,118.800,right,,
DSC00009.JPG,16.07.2020,13:29:49,45.717335,60.996357,295.7,235.0,238.4,-4.700,-1.100,253.000,254.800,91.080,125.280,right,,
DSC00010.JPG,16.07.2020,13:29:54,45.716911,60.994228,302.1,239.8,244.8,2.000,-1.800,256.000,254.100,89.640,123.480,right,,
DSC00011.JPG,16.07.2020,13:29:59,45.716560,60.992077,300.0,237.8,242.7,0.000,-1.000,256.000,257.800,92.520,123.120,right,,
DSC00012.JPG,16.07.2020,13:30:04,45.716240,60.989952,299.2,237.0,241.9,-1.900,-2.200,252.000,255.200,91.080,116.280,right,,
DSC00013.JPG,16.07.2020,13:30:09,45.715923,60.988060,295.0,233.5,237.7,-2.300,-2.200,252.000,257.000,81.000,109.440,right,,
DSC00014.JPG,16.07.2020,13:30:14,45.715637,60.986187,295.3,229.8,238.0,-4.400,-0.300,256.000,258.900,80.280,107.640,right,,
DSC00015.JPG,16.07.2020,13:30:19,45.715233,60.984352,292.4,229.1,235.1,7.700,2.500,249.000,249.400,73.080,105.840,right,,
DSC00016.JPG,16.07.2020,13:30:24,45.714767,60.982590,292.5,229.6,235.2,-0.200,3.200,244.000,250.600,76.320,106.200,right,,
DSC00017.JPG,16.07.2020,13:30:29,45.714333,60.980839,293.7,231.5,236.4,1.700,2.100,251.000,251.500,77.040,106.920,right,,
DSC00018.JPG,16.07.2020,13:30:34,45.713905,60.978897,290.4,230.5,233.1,-2.600,4.600,253.000,251.800,84.240,111.600,right,,
DSC00019.JPG,16.07.2020,13:30:39,45.713505,60.977058,293.3,230.1,236.0,-1.900,3.200,253.000,252.400,82.440,108.360,right,,
DSC00020.JPG,16.07.2020,13:30:44,45.713112,60.975212,294.8,232.8,237.5,0.400,0.100,254.000,253.000,82.440,107.280,right,,
DSC00021.JPG,16.07.2020,13:30:49,45.712730,60.973309,293.5,230.8,236.2,-0.800,1.100,266.000,257.500,85.680,113.040,right,,
DSC00022.JPG,16.07.2020,13:30:54,45.712391,60.971378,293.3,231.2,236.0,-2.200,1.500,255.000,255.400,82.800,110.520,right,,
DSC00023.JPG,16.07.2020,13:30:59,45.712063,60.969444,294.2,231.0,236.9,-0.400,0.400,265.000,258.500,81.000,111.240,right,,
DSC00024.JPG,16.07.2020,13:31:04,45.711807,60.967484,290.7,227.6,233.4,-3.800,4.300,257.000,257.000,79.560,114.840,right,,
DSC00025.JPG,16.07.2020,13:31:09,45.711475,60.965488,293.0,229.6,235.7,-1.700,2.600,267.000,260.800,81.000,111.600,right,,
DSC00026.JPG,16.07.2020,13:31:14,45.711246,60.963554,294.0,232.8,236.7,-3.000,1.000,265.000,260.700,82.080,108.720,right,,
DSC00027.JPG,16.07.2020,13:31:19,45.710999,60.961666,292.1,229.1,234.8,-1.200,2.200,261.000,259.400,79.200,107.640,right,,
DSC00028.JPG,16.07.2020,13:31:24,45.710773,60.959747,292.1,229.3,234.8,-1.600,3.500,259.000,259.400,81.360,111.240,right,,
DSC00029.JPG,16.07.2020,13:31:29,45.710503,60.957760,289.7,228.2,232.4,-2.400,2.100,259.000,258.800,82.800,114.840,right,,
DSC00030.JPG,16.07.2020,13:31:34,45.710194,60.955776,285.8,223.8,228.5,-4.300,-0.600,253.000,253.700,83.160,111.240,right,,
DSC00031.JPG,16.07.2020,13:31:39,45.709816,60.953888,282.1,220.5,224.8,-2.000,1.700,257.000,254.300,83.160,109.080,right,,
DSC00032.JPG,16.07.2020,13:31:44,45.709473,60.952103,279.7,219.5,222.4,-4.000,2.900,256.000,253.700,81.000,105.480,right,,
DSC00033.JPG,16.07.2020,13:31:49,45.709103,60.950329,281.4,221.8,224.1,0.200,0.800,251.000,250.400,80.280,105.840,right,,
DSC00034.JPG,16.07.2020,13:31:54,45.708660,60.948452,282.1,220.5,224.8,24.800,0.900,271.000,257.400,84.240,108.000,right,,
DSC00035.JPG,16.07.2020,13:31:59,45.708832,60.946625,277.6,216.2,220.3,18.000,5.500,314.000,298.300,82.080,104.040,right,,
DSC00036.JPG,16.07.2020,13:32:04,45.709759,60.945465,275.3,214.4,218.0,22.600,7.800,7.000,341.300,81.000,97.920,right,,
DSC00037.JPG,16.07.2020,13:32:09,45.710873,60.945522,276.8,217.3,219.5,19.800,6.400,50.000,26.000,79.920,86.400,right,,
DSC00038.JPG,16.07.2020,13:32:14,45.711575,60.946602,277.9,216.7,220.6,-8.900,5.900,67.000,61.100,83.160,83.520,right,,
DSC00039.JPG,16.07.2020,13:32:19,45.712151,60.947830,279.6,220.4,222.3,-5.500,4.000,52.000,48.800,81.720,82.440,right,,
DSC00040.JPG,16.07.2020,13:32:24,45.712929,60.948807,281.4,223.0,224.1,-22.600,-0.500,25.000,29.900,87.120,86.040,right,,
DSC00041.JPG,16.07.2020,13:32:29,45.714035,60.949074,283.8,224.5,226.5,3.500,-1.300,4.000,356.300,86.040,94.680,right,,
DSC00042.JPG,16.07.2020,13:32:34,45.715229,60.948936,286.5,226.2,229.2,2.800,0.100,2.000,356.700,83.880,96.480,right,,
DSC00043.JPG,16.07.2020,13:32:39,45.716400,60.948807,282.7,222.4,225.4,-0.300,-0.200,0.000,355.600,83.880,97.560,right,,
DSC00044.JPG,16.07.2020,13:32:44,45.717606,60.948704,282.4,221.3,225.1,3.800,0.900,9.000,359.500,79.560,95.400,right,,
DSC00045.JPG,16.07.2020,13:32:49,45.718849,60.948833,279.7,219.9,222.4,-10.800,2.400,5.000,1.200,85.320,100.800,right,,
DSC00046.JPG,16.07.2020,13:32:54,45.720051,60.948612,283.3,221.0,226.0,10.500,-0.900,10.000,352.200,81.720,96.840,right,,
DSC00047.JPG,16.07.2020,13:32:59,45.721245,60.948517,279.9,218.5,222.6,-1.700,2.600,14.000,2.100,79.200,90.720,right,,
DSC00048.JPG,16.07.2020,13:33:04,45.722359,60.948612,279.9,219.8,222.6,-5.300,1.700,13.000,3.900,77.040,85.320,right,,
DSC00049.JPG,16.07.2020,13:33:09,45.723480,60.948650,281.5,222.2,224.2,0.800,0.700,14.000,1.200,84.960,92.880,right,,
DSC00050.JPG,16.07.2020,13:33:14,45.724617,60.948692,283.0,224.2,225.7,-8.200,-1.800,11.000,358.800,86.400,88.200,right,,
DSC00051.JPG,16.07.2020,13:33:19,45.725735,60.948505,284.0,223.8,226.7,-0.300,-3.100,8.000,351.600,81.000,92.880,right,,
DSC00052.JPG,16.07.2020,13:33:24,45.726929,60.948250,281.6,221.6,224.3,8.900,0.700,19.000,355.400,86.400,95.040,right,,
DSC00053.JPG,16.07.2020,13:33:29,45.727993,60.948265,278.6,217.3,221.3,-0.700,3.700,22.000,3.800,76.680,81.360,right,,
DSC00054.JPG,16.07.2020,13:33:34,45.728977,60.948387,279.3,219.3,222.0,-0.400,4.400,29.000,7.800,76.320,78.480,right,,
DSC00055.JPG,16.07.2020,13:33:39,45.729954,60.948524,278.9,219.5,221.6,-3.300,3.500,24.000,4.800,75.600,79.920,right,,
DSC00056.JPG,16.07.2020,13:33:44,45.731014,60.948509,276.4,215.3,219.1,1.400,9.800,10.000,355.100,77.760,86.040,right,,
DSC00057.JPG,16.07.2020,13:33:49,45.732101,60.948326,277.2,217.5,219.9,-0.900,6.700,12.000,356.600,78.840,85.680,right,,
