Photo No.,Date,Time,Lat_dec,Lon_dec,Alt above the Sea level,Alt above launch point,Alt above ground,Banking angle,Tangage,Azimuth,GPS Course,Speed,GPS Speed,Camera position,Species,Number,
DSC07661.JPG,18.07.2020,04:43:13,45.658833,60.950710,61.0,0.2,,5.500,23.800,102.000,102.300,0.000,0.000,right,,,
DSC07662.JPG,18.07.2020,04:43:19,45.658829,60.950706,61.0,0.2,,6.900,2.700,110.000,110.300,0.000,0.000,right,,,
DSC07663.JPG,18.07.2020,04:43:25,45.658829,60.950706,61.4,0.0,,8.100,0.300,113.000,113.300,0.000,0.000,right,,,
DSC07664.JPG,18.07.2020,04:57:29,45.544991,60.900558,297.2,226.9,236.2,-2.200,6.400,212.000,196.400,80.640,97.560,right,,,
DSC07665.JPG,18.07.2020,04:57:34,45.543755,60.900143,298.5,230.1,237.5,3.800,4.200,213.000,195.200,82.080,104.040,right,,,
DSC07666.JPG,18.07.2020,04:57:39,45.542465,60.899681,298.1,228.4,237.1,3.800,5.800,213.000,193.900,86.760,111.600,right,,,
DSC07667.JPG,18.07.2020,04:57:44,45.541153,60.899166,297.0,228.4,236.0,1.400,6.100,217.000,198.200,83.160,109.800,right,,,
DSC07668.JPG,18.07.2020,04:57:49,45.539833,60.898491,297.2,230.9,236.2,7.200,2.100,222.000,202.600,87.480,110.520,right,,,
DSC07669.JPG,18.07.2020,04:57:54,45.538589,60.897758,298.0,228.3,237.0,-1.500,4.400,214.000,201.200,85.320,106.920,right,,,
DSC07670.JPG,18.07.2020,04:57:59,45.537331,60.897190,297.7,229.9,236.7,-1.000,3.700,221.000,199.000,81.720,104.760,right,,,
DSC07671.JPG,18.07.2020,04:58:04,45.536045,60.896576,302.6,233.8,241.6,-2.800,-0.400,213.000,197.200,86.400,109.440,right,,,
DSC07672.JPG,18.07.2020,04:58:09,45.534748,60.896053,302.3,233.3,241.3,-0.100,0.100,214.000,198.900,88.920,108.360,right,,,
DSC07673.JPG,18.07.2020,04:58:14,45.533497,60.895515,299.7,230.7,238.7,0.000,2.600,215.000,197.800,82.800,103.320,right,,,
DSC07674.JPG,18.07.2020,04:58:19,45.532288,60.894974,298.5,230.4,237.5,0.700,2.100,218.000,198.900,81.000,100.800,right,,,
