Photo No.,Date,Time,Lat_dec,Lon_dec,Alt above the Sea level,Alt above launch point,Alt above ground,Banking angle,Tangage,Azimuth,GPS Course,Speed,GPS Speed,Camera position,Species,Number
DSC01125.JPG,17.07.2020,01:54:33,45.759438,61.212204,56.2,0.5,,-2.000,8.900,4.000,3.900,0.000,0.000,right,,
DSC01126.JPG,17.07.2020,01:54:36,45.759438,61.212204,56.5,0.4,,-2.800,10.600,2.000,2.600,0.000,0.000,right,,
DSC01127.JPG,17.07.2020,01:54:38,45.759438,61.212204,56.9,0.7,,-2.600,10.500,2.000,2.100,0.000,0.000,right,,
DSC01128.JPG,17.07.2020,02:01:37,45.732712,61.172359,290.3,229.5,234.1,0.200,3.300,216.000,225.300,83.880,110.520,right,,
DSC01129.JPG,17.07.2020,02:01:41,45.731968,61.171215,290.3,229.7,234.5,0.000,3.200,217.000,225.900,83.880,110.880,right,,
DSC01130.JPG,17.07.2020,02:01:46,45.731007,61.169823,290.7,229.8,234.4,0.000,2.800,217.000,225.700,84.240,111.240,right,,
DSC01131.JPG,17.07.2020,02:01:51,45.730015,61.168350,290.6,230.0,235.3,0.000,2.800,217.000,225.700,84.240,110.880,right,,
DSC01132.JPG,17.07.2020,02:01:56,45.729061,61.166924,291.5,230.4,234.9,-0.300,2.300,216.000,226.000,83.880,110.880,right,,
DSC01133.JPG,17.07.2020,02:02:01,45.728111,61.165482,291.1,229.8,234.6,-0.600,2.800,216.000,226.300,84.240,110.880,right,,
DSC01134.JPG,17.07.2020,02:02:06,45.727169,61.164047,290.8,229.8,234.9,0.300,3.100,217.000,226.400,83.520,110.160,right,,
DSC01135.JPG,17.07.2020,02:02:11,45.726223,61.162601,291.1,230.0,235.0,-0.100,2.800,218.000,226.700,83.880,110.520,right,,
DSC01136.JPG,17.07.2020,02:02:16,45.725281,61.161144,291.2,230.1,234.6,-0.600,2.700,217.000,226.700,84.240,110.880,right,,
DSC01137.JPG,17.07.2020,02:02:21,45.724335,61.159695,290.8,230.0,234.1,-0.500,3.000,216.000,226.000,84.240,111.240,right,,
DSC01138.JPG,17.07.2020,02:02:26,45.723400,61.158257,290.3,229.7,234.2,0.000,3.100,216.000,225.700,83.880,110.880,right,,
DSC01139.JPG,17.07.2020,02:02:31,45.722439,61.156872,290.4,229.8,234.7,-0.300,3.200,215.000,225.500,83.880,110.520,right,,
DSC01140.JPG,17.07.2020,02:02:36,45.721439,61.155430,290.9,229.7,234.9,-0.100,3.000,214.000,224.300,84.240,110.520,right,,
DSC01141.JPG,17.07.2020,02:02:41,45.720486,61.154083,291.1,229.8,235.4,0.000,3.200,213.000,224.100,83.880,110.520,right,,
DSC01142.JPG,17.07.2020,02:02:46,45.719498,61.152706,291.6,229.7,235.8,0.500,2.900,213.000,224.000,84.240,110.520,right,,
DSC01143.JPG,17.07.2020,02:02:51,45.718506,61.151329,292.0,230.0,236.3,0.400,2.900,213.000,224.200,84.240,110.880,right,,
DSC01144.JPG,17.07.2020,02:02:56,45.717518,61.149937,292.5,230.1,236.0,0.500,2.700,214.000,224.400,83.880,110.880,right,,
DSC01145.JPG,17.07.2020,02:03:01,45.716534,61.148533,292.2,230.0,236.0,0.800,3.000,215.000,225.100,83.880,111.600,right,,
DSC01146.JPG,17.07.2020,02:03:06,45.715534,61.147057,292.2,230.1,236.2,0.200,2.700,216.000,225.900,84.240,111.960,right,,
DSC01147.JPG,17.07.2020,02:03:11,45.714600,61.145638,292.4,230.3,236.5,0.700,2.700,217.000,226.700,84.240,112.320,right,,
DSC01148.JPG,17.07.2020,02:03:16,45.713638,61.144157,292.7,230.0,236.2,0.200,2.800,218.000,227.200,84.240,113.040,right,,
DSC01149.JPG,17.07.2020,02:03:21,45.712685,61.142624,292.4,230.1,235.5,1.000,2.400,219.000,227.700,84.600,113.400,right,,
DSC01150.JPG,17.07.2020,02:03:26,45.711742,61.141151,291.7,228.3,234.9,-25.400,2.900,197.000,223.700,84.600,111.960,right,,
DSC01151.JPG,17.07.2020,02:03:31,45.710583,61.140469,291.1,228.7,235.7,-19.500,3.700,151.000,180.700,83.520,91.800,right,,
DSC01152.JPG,17.07.2020,02:03:36,45.709629,61.140976,291.9,230.6,236.8,7.400,3.700,125.000,139.400,82.800,73.800,right,,
DSC01153.JPG,17.07.2020,02:03:41,45.708878,61.141724,293.0,230.9,237.5,12.400,2.700,150.000,156.300,84.240,81.000,right,,
DSC01154.JPG,17.07.2020,02:03:46,45.707817,61.142033,293.7,231.3,236.8,2.700,2.000,162.000,174.400,84.240,89.280,right,,
DSC01155.JPG,17.07.2020,02:03:51,45.706638,61.142094,293.0,230.7,236.4,2.200,2.100,168.000,180.100,84.960,92.520,right,,
